time,open,high,low,close,volume
2014-12-31 09:00:00+00:00,173.274779265,173.274779265,173.274779265,173.274779265,360.0
2014-12-31 09:01:00+00:00,173.274779265,173.274779265,173.274779265,173.274779265,2162.0
2014-12-31 09:02:00+00:00,173.274779265,173.274779265,173.24980092,173.258127035,7224.0
2014-12-31 09:03:00+00:00,173.26645315,173.26645315,173.241474805,173.241474805,6978.0
2014-12-31 09:04:00+00:00,173.241474805,173.24980092,173.241474805,173.24980092,357.0
2014-12-31 09:05:00+00:00,173.23314869,173.23314869,173.224822575,173.224822575,4924.0
2014-12-31 09:06:00+00:00,173.21649646,173.21649646,173.208170345,173.208170345,6409.0
2014-12-31 09:07:00+00:00,173.224822575,173.224822575,173.224822575,173.224822575,1321.0
2014-12-31 09:08:00+00:00,173.224822575,173.224822575,173.224822575,173.224822575,120.0
2014-12-31 09:09:00+00:00,173.224822575,173.23314869,173.224822575,173.23314869,11290.0
2014-12-31 09:10:00+00:00,173.23314869,173.23314869,173.224822575,173.224822575,2162.0
2014-12-31 09:11:00+00:00,173.23314869,173.23314869,173.224822575,173.224822575,3507.0
2014-12-31 09:12:00+00:00,173.224822575,173.26645315,173.224822575,173.26645315,32572.0
2014-12-31 09:13:00+00:00,173.26645315,173.29975761,173.26645315,173.29975761,15962.0
2014-12-31 09:14:00+00:00,173.29975761,173.29975761,173.28310538,173.291431495,9608.0
2014-12-31 09:15:00+00:00,173.28310538,173.291431495,173.28310538,173.291431495,41711.0
2014-12-31 09:16:00+00:00,173.291431495,173.29975761,173.28310538,173.28310538,8527.0
2014-12-31 09:17:00+00:00,173.28310538,173.28310538,173.274779265,173.274779265,5563.0
2014-12-31 09:18:00+00:00,173.291431495,173.291431495,173.274779265,173.274779265,15373.0
2014-12-31 09:19:00+00:00,173.291431495,173.291431495,173.291431495,173.291431495,360.0
2014-12-31 09:20:00+00:00,173.258127035,173.258127035,173.241474805,173.241474805,13220331.0
2014-12-31 09:21:00+00:00,173.258127035,173.258127035,173.241474805,173.241474805,0.0
2014-12-31 09:22:00+00:00,173.23314869,173.241474805,173.224822575,173.224822575,20436.0
2014-12-31 09:23:00+00:00,173.23314869,173.241474805,173.23314869,173.23314869,6606.0
2014-12-31 09:24:00+00:00,173.224822575,173.24980092,173.224822575,173.24980092,844.0
2014-12-31 09:25:00+00:00,173.258127035,173.258127035,173.258127035,173.258127035,2402.0
2014-12-31 09:26:00+00:00,173.24980092,173.258127035,173.241474805,173.258127035,15734.0
2014-12-31 09:27:00+00:00,173.258127035,173.258127035,173.241474805,173.241474805,6786.0
2014-12-31 09:28:00+00:00,173.241474805,173.241474805,173.208170345,173.208170345,9969.0
2014-12-31 09:29:00+00:00,173.19984423,173.208170345,173.158213655,173.16653977,60565.0
2014-12-31 09:30:00+00:00,173.158213655,173.208170345,173.158213655,173.174865885,181844.0
2014-12-31 09:31:00+00:00,173.14988754,173.24980092,173.14988754,173.16653977,856989.0
2014-12-31 09:32:00+00:00,173.16653977,173.183192,173.091604735,173.108256965,268592.0
2014-12-31 09:33:00+00:00,173.108256965,173.124909195,173.0166697,173.041648045,661325.0
2014-12-31 09:34:00+00:00,173.041648045,173.091604735,173.041648045,173.091604735,501032.0
2014-12-31 09:35:00+00:00,173.091604735,173.14988754,173.091604735,173.141561425,380045.0
2014-12-31 09:36:00+00:00,173.141561425,173.224822575,173.124909195,173.21649646,575093.0
2014-12-31 09:37:00+00:00,173.21649646,173.224822575,173.174865885,173.183192,289514.0
2014-12-31 09:38:00+00:00,173.183192,173.21649646,173.14988754,173.158213655,269356.0
2014-12-31 09:39:00+00:00,173.16653977,173.16653977,173.091604735,173.091604735,352570.0
2014-12-31 09:40:00+00:00,173.091604735,173.13323531,173.08327862,173.11658308,212128.0
2014-12-31 09:41:00+00:00,173.11658308,173.13323531,173.074952505,173.08327862,277318.0
2014-12-31 09:42:00+00:00,173.074952505,173.091604735,173.058300275,173.08327862,275555.0
2014-12-31 09:43:00+00:00,173.074952505,173.08327862,173.03332193,173.06662639,412390.0
2014-12-31 09:44:00+00:00,173.074952505,173.09993085,173.00001747,173.041648045,307609.0
2014-12-31 09:45:00+00:00,173.041648045,173.04997416,172.958386895,172.96671301,158656.0
2014-12-31 09:46:00+00:00,172.96671301,173.0166697,172.96671301,173.008343585,258048.0
